Date,time_days_from_20190113,ZK204_obs_delta_h_m,ZK204_sim_delta_h_m,ZK204_residual_m,ZK206_obs_delta_h_m,ZK206_sim_delta_h_m,ZK206_residual_m,ZK207_obs_delta_h_m,ZK207_sim_delta_h_m,ZK207_residual_m,ZK401_obs_delta_h_m,ZK401_sim_delta_h_m,ZK401_residual_m,ZK402_obs_delta_h_m,ZK402_sim_delta_h_m,ZK402_residual_m
2019-01-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-23,41.0,-0.22,0.0012568909560286556,0.22125689095602866,-7.08,-1.0475750174791756,6.0324249825208245,-7.17,-0.8054844477755978,6.364515552224402,2.34,1.135351193819588,-1.204648806180412,-0.04,0.8908072464537327,0.9308072464537327
2019-02-28,46.0,0.71,0.0004405866197885189,-0.7095594133802114,-4.87,-1.118046226666138,3.751953773333862,-10.17,-1.1051577833368356,9.064842216663164,1.12,1.5605850989313694,0.4405850989313693,0.0,1.2225789084704957,1.2225789084704957
2019-03-07,53.0,-0.83,-0.002769631254068372,0.8272303687459316,-4.87,-1.1975585719610535,3.6724414280389466,-14.46,-1.1189481543915463,13.341051845608455,1.12,1.579942235096496,0.4599422350964959,-0.05,1.2380881857716304,1.2880881857716304
2019-03-11,57.0,-0.31,-0.006354465880122007,0.303645534119878,-6.05,-1.3343744693320332,4.715625530667967,-15.57,-1.206137169458998,14.363862830541002,1.31,1.7021384917079558,0.3921384917079558,-0.08,1.334162878159077,1.4141628781590772
2019-03-14,60.0,-1.25,-0.009692199072105723,1.2403078009278943,-3.84,-1.187515913070456,2.652484086929544,-17.64,-1.0367975365061284,16.603202463493872,1.18,1.4626870353085906,0.28268703530859063,-0.12,1.1465446095990046,1.2665446095990047
2019-03-18,64.0,-0.31,-0.015175204307979584,0.2948247956920204,-7.08,-1.3992705016553373,5.680729498344663,-19.72,-1.3120431781135267,18.407956821886472,2.17,1.8522915571238627,-0.3177084428761372,-0.11,1.4514824390698777,1.5614824390698778
2019-03-21,67.0,-0.08,-0.019754090169953997,0.060245909830046004,-3.07,-1.4706255121873255,1.5993744878126743,-22.83,-1.3946334239126372,21.43536657608736,1.25,1.968708047097607,0.718708047097607,-0.07,1.5426249084111987,1.6126249084111988
2019-03-25,71.0,1.02,-0.02635584689278403,-1.046355846892784,-4.11,-1.4882931396991808,2.6217068603008196,-22.83,-1.4244406905727374,21.40555930942726,1.25,2.0106620956530605,0.7606620956530605,-0.07,1.5753663798441266,1.6453663798441267
2019-03-28,74.0,-0.08,-0.03164930481534611,0.04835069518465389,-3.89,-1.5192313054890292,2.370768694510971,-21.79,-1.4904485494234905,20.29955145057651,1.25,2.1039193507695018,0.8539193507695018,-0.15,1.6481949162171077,1.7981949162171076
2019-04-02,79.0,-0.61,-0.04101888890727423,0.5689811110927258,-1.56,-1.5488901865987827,0.011109813401217306,-20.76,-1.494011373637477,19.265988626362525,1.25,2.108218334299636,0.8582183342996359,-0.04,1.6516644061193801,1.6916644061193802
2019-04-09,86.0,-1.03,-0.05484890406023624,0.9751510959397638,-16.2,-1.513232919136044,14.686767080863955,-23.87,-1.430127197991169,22.439872802008832,2.38,2.0166031197422853,-0.36339688025771455,-0.1,1.579935746350202,1.679935746350202
2019-04-17,94.0,1.16,-0.07188017707449035,-1.2318801770744903,-2.61,-1.563528901644986,1.0464710983550138,-28.02,-1.4949041539130121,26.525095846086987,2.38,2.1074779497794225,-0.2725220502205774,-0.17,1.6510108000511536,1.8210108000511536
