time,time_days,file,well,node_id,x,y,z,pressure_Pa,head_m,head_initial_m,delta_head_m,delta_pressure_Pa,delta_pressure_MPa
0.0,0.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_0_t_0.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.0,3820.983779771971,3820.983779771971,0.0,0.0,0.0
86400.0,1.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_1_t_86400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.7545918046846226,3820.983856692644,3820.983779771971,7.692067310927087e-05,0.7545918046846226,7.545918046846226e-07
172800.0,2.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_2_t_172800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-0.5071953898915643,3820.9837280700963,3820.983779771971,-5.170187478142907e-05,-0.5071953898915643,-5.071953898915643e-07
259200.0,3.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_3_t_259200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-2.9230710406377534,3820.9834818034656,3820.983779771971,-0.000297968505492463,-2.9230710406377534,-2.9230710406377535e-06
345600.0,4.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_4_t_345600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.6361754341804201,3820.9838446216586,3820.983779771971,6.484968753284193e-05,0.6361754341804201,6.361754341804201e-07
432000.0,5.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_5_t_432000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.21901506509543955,3820.983802097666,3820.983779771971,2.232569477200741e-05,0.21901506509543955,2.1901506509543955e-07
518400.0,6.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_6_t_518400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,1.9855123446773462,3820.983982168744,3820.983779771971,0.00020239677314748405,1.9855123446773462,1.985512344677346e-06
604800.0,7.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_7_t_604800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,4.4644886831411466,3820.9842348676575,3820.983779771971,0.00045509568644774845,4.4644886831411466,4.464488683141147e-06
691200.0,8.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_8_t_691200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.02985272522785951,3820.983782815062,3820.983779771971,3.0430910555878654e-06,0.02985272522785951,2.985272522785951e-08
777600.0,9.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_9_t_777600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-2.1379201000860406,3820.983561839239,3820.983779771971,-0.0002179327320845914,-2.1379201000860406,-2.1379201000860407e-06
864000.0,10.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_10_t_864000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-1.9229714462434253,3820.983583750417,3820.983779771971,-0.00019602155407483224,-1.9229714462434253,-1.9229714462434254e-06
950400.0,11.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_11_t_950400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.10833667078945089,3820.9837908154645,3820.983779771971,1.1043493486795342e-05,0.10833667078945089,1.0833667078945089e-07
1036800.0,12.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_12_t_1036800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,1.5423660316504364,3820.9839369958277,3820.983779771971,0.0001572238566041051,1.5423660316504364,1.5423660316504364e-06
1123200.0,13.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_13_t_1123200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-0.6731587145159632,3820.9837111523266,3820.983779771971,-6.861964448034996e-05,-0.6731587145159632,-6.731587145159633e-07
1209600.0,14.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_14_t_1209600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-0.7453654152977164,3820.9837037918064,3820.983779771971,-7.598016463816748e-05,-0.7453654152977164,-7.453654152977164e-07
1296000.0,15.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_15_t_1296000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.9215944388598789,3820.983873716358,3820.983779771971,9.394438711751718e-05,0.9215944388598789,9.215944388598789e-07
1382400.0,16.0,Yangyi_2D_after20190113_case12_allperm_k9_2e-11_k12_2p2e-12_ts_16_t_1382400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.7206024907493848,3820.9838532278823,3820.983779771971,7.345591120611061e-05,0.7206024907493848,7.206024907493847e-07
