time,time_days,ZK204,ZK206,ZK207,ZK401,ZK402
0.0,0.0,3820.983779771971,3919.820539084446,4688.903450140564,4101.216800289623,4335.996181878206
86400.0,1.0,3820.983856692644,3919.2644982531715,4688.09628832382,4102.360801160916,4336.891312478361
172800.0,2.0,3820.9837280700963,3918.867377085101,4687.710793545054,4102.905239698703,4337.318197134783
259200.0,3.0,3820.9834818034656,3919.5846248862763,4688.897876634019,4101.224115500351,4336.003420819637
345600.0,4.0,3820.9838446216586,3919.1491789714687,4688.027448561178,4102.462283951238,4336.971083123282
432000.0,5.0,3820.983802097666,3919.654232157932,4688.899067546768,4101.221875717578,4336.001201019632
518400.0,6.0,3820.983982168744,3919.773106749479,4688.904455852517,4101.217880447377,4335.997261822608
604800.0,7.0,3820.9842348676575,3918.5280532699826,4687.048467413665,4103.8463344158245,4338.053716301274
691200.0,8.0,3820.983782815062,3918.373249633121,4687.248463844602,4103.557815478779,4337.829941571538
777600.0,9.0,3820.983561839239,3918.4232489865653,4687.395122772508,4103.355461459026,4337.671848714225
864000.0,10.0,3820.983583750417,3918.6150323179636,4687.66161991202,4102.978834480858,4337.3770600582475
950400.0,11.0,3820.9837908154645,3918.451274178264,4687.358163952924,4103.409188382915,4337.71346665379
1036800.0,12.0,3820.9839369958277,3917.7940998353356,4686.4575074657205,4104.683957526209,4338.711157747098
1123200.0,13.0,3820.9837111523266,3918.0005829005604,4686.985652907797,4103.933683328376,4338.125128007282
1209600.0,14.0,3820.9837037918064,3918.2816790577676,4687.334551176151,4103.442946217234,4337.740796848892
1296000.0,15.0,3820.983873716358,3918.0369825091548,4686.880975622939,4104.085645916188,4338.243207726723
1382400.0,16.0,3820.9838532278823,3917.6887221972406,4686.454797472498,4104.687125724932,4338.714203383645
1468800.0,17.0,3820.9835565779676,3918.3745585865595,4687.573845117522,4103.100760359535,4337.473473117477
1555200.0,18.0,3820.983767989323,3917.764725981386,4686.4596508438535,4104.683807177417,4338.7110213096685
1641600.0,19.0,3820.983497794436,3918.1158202168976,4687.168070901663,4103.674077212701,4337.921898435844
1728000.0,20.0,3820.983497317209,3917.997184040729,4686.884620168127,4104.0796331450465,4338.238645932851
1814400.0,21.0,3820.9833224699237,3918.6956833685804,4687.934578447875,4102.5892566234415,4337.0726579742495
1900800.0,22.0,3820.9836187584656,3917.8444713345316,4686.460677948058,4104.6809257314835,4338.708162917379
1987200.0,23.0,3820.98322906547,3918.676253298044,4687.94883368346,4102.565161674864,4337.054007284999
2073600.0,24.0,3820.9833830101666,3918.859237535009,4687.94197993183,4102.5816087830535,4337.065535070748
2160000.0,25.0,3820.983645371534,3918.030306476465,4686.663218826888,4104.390556510187,4338.480650330646
2246400.0,26.0,3820.9834539964554,3917.761916747241,4686.5537390162,4104.5416226928155,4338.600160605054
2332800.0,27.0,3820.9833953952384,3917.619274310958,4686.452388032203,4104.688247262362,4338.715304243273
2419200.0,28.0,3820.983541304632,3917.581275216688,4686.4524308040845,4104.689032922872,4338.716129264419
2505600.0,29.0,3820.9838531611636,3917.570174658009,4686.452748650346,4104.688994722534,4338.716137003475
2592000.0,30.0,3820.9842374279806,3917.5666255291967,4686.452716623292,4104.688959665693,4338.716101937207
2678400.0,31.0,3820.9846201597834,3917.565104283604,4686.452325403683,4104.689289021486,4338.7163393244955
2764800.0,32.0,3820.9849523812118,3917.6038269895257,4686.509417965418,4104.60810724494,4338.65279478129
2851200.0,33.0,3820.985231463879,3917.652347368942,4686.566821280578,4104.526616072177,4338.588944525979
2937600.0,34.0,3820.985444542794,3917.703639684843,4686.624161073614,4104.445056339322,4338.525025723101
3024000.0,35.0,3820.9855533421073,3917.9939795599585,4687.027277019877,4103.873385431743,4338.077612993234
3110400.0,36.0,3820.9857067572707,3918.0389531551145,4686.992001406187,4103.923877614193,4338.116636290127
3196800.0,37.0,3820.9857158824793,3918.158470316969,4687.145076495837,4103.7054099789975,4337.945603365958
3283200.0,38.0,3820.985678882769,3918.1379748282416,4687.072949181123,4103.807567724881,4338.025330024356
3369600.0,39.0,3820.9855309714603,3918.2558788482565,4687.24891820294,4103.55732317837,4337.829542776429
3456000.0,40.0,3820.9854642647283,3917.8455421312256,4686.612817960601,4104.459208433405,4338.535027629168
3542400.0,41.0,3820.9851135836,3918.216923235693,4687.290803876044,4103.496152354735,4337.782119724815
3628800.0,42.0,3820.9850244333747,3918.347352423224,4687.359320088618,4103.402186353445,4337.7079911509
3715200.0,43.0,3820.984938650779,3918.4073172949206,4687.396032532315,4103.3487187920655,4337.665933844501
3801600.0,44.0,3820.9847853929837,3918.410153103457,4687.376692158257,4103.375478120385,4337.686764310452
3888000.0,45.0,3820.9845502249755,3918.410393794486,4687.374650018318,4103.377941623168,4337.688678138807
3974400.0,46.0,3820.984297279264,3918.146452026506,4686.991130540483,4103.921386259847,4338.113891386832
4060800.0,47.0,3820.9838949407003,3918.050408239043,4686.942253325843,4103.989655404409,4338.167721610565
4147200.0,48.0,3820.983490098775,3918.056107014993,4686.987959608781,4103.925748012794,4338.117860964966
4233600.0,49.0,3820.983115978995,3918.0876147487024,4687.033910654654,4103.861057722131,4338.0672233811265
4320000.0,50.0,3820.982725825827,3918.1264395538874,4687.079671088909,4103.796169894437,4338.016388288436
4406400.0,51.0,3820.9822842019435,3918.091996017933,4687.015897775984,4103.886391435401,4338.086907542136
4492800.0,52.0,3820.9817177876357,3918.1324840731913,4687.08584209108,4103.786798718105,4338.009022601897
4579200.0,53.0,3820.98108706139,3918.066939681211,4686.977340169428,4103.940743396012,4338.129400664133
4665600.0,54.0,3820.9803225740893,3918.0645948324673,4686.995854058624,4103.91394948962,4338.108527780058
4752000.0,55.0,3820.979483993761,3918.0387382901026,4686.9602067831875,4103.964645116886,4338.1481864149
4838400.0,56.0,3820.978589151166,3917.8115737241,4686.639531577774,4104.41894318719,4338.503683537076
4924800.0,57.0,3820.977502226764,3917.93012378384,4686.890151154361,4104.062939652624,4338.22547535652
5011200.0,58.0,3820.976467609981,3917.9323351935236,4686.856636655841,4104.1118291823295,4338.2635266938005
5097600.0,59.0,3820.9753628970034,3917.946212097496,4686.874548756144,4104.085758170814,4338.2431088563
5184000.0,60.0,3820.9741644935716,3918.0769823401015,4687.059490787314,4103.823488196224,4338.03785708796
5270400.0,61.0,3820.972958648857,3917.978852291092,4686.871939692744,4104.089533152239,4338.245803217183
5356800.0,62.0,3820.9716119488753,3917.850058287378,4686.7164738617275,4104.308740921171,4338.417466694381
5443200.0,63.0,3820.9701479243886,3917.856805250337,4686.771943340936,4104.229990964922,4338.356040853688
