well,node_id,x,y,z,head_initial_m,delta_head_min_m,delta_head_max_m,delta_head_final_m,pressure_initial_Pa,delta_pressure_final_MPa
ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,3820.983779771971,-0.32627846367313396,0.0019361105082680297,-0.32627846367313396,0.0,-0.0032007917286347664
ZK206,2163,246041.5577029737,3290789.473730274,3919.820539084446,3919.820539084446,-16.249210966380815,0.0,-2.126351613256247,0.0,-0.020859509326044846
ZK207,5610,245383.6846784409,3290612.330974934,4688.903450140564,4688.903450140564,-22.835788398425393,0.001005711952529964,-2.3040339716844755,0.0,-0.02260257326222073
ZK401,1465,245834.024658565,3292358.813982456,4101.216800289623,4101.216800289623,0.0,32.346561181482684,3.242417666984693,0.0,0.031808117313119465
ZK402,14775,246196.992919841,3292608.544742463,4335.996181878206,4335.996181878206,0.0,25.310931462560802,2.5379928002112138,0.0,0.02489770937007238
