time,time_days,ZK204,ZK206,ZK207,ZK401,ZK402
0.0,0.0,0.0,0.0,0.0,0.0,0.0
86400.0,1.0,0.7545918046846226,-5454.760554803432,-7918.25742226173,11222.648547383349,8781.231187526175
172800.0,2.0,-0.5071953898915643,-9350.519213573349,-11699.96120195095,16563.59060306732,12968.969667021329
259200.0,3.0,-2.9230710406377534,-2314.3182840465875,-54.676099208946624,71.76221724205632,71.01401544054305
345600.0,4.0,0.6361754341804201,-6586.04270830845,-8593.575493778673,12218.194720437938,9563.78121419769
432000.0,5.0,0.21901506509543955,-1631.4709491021983,-42.99324514659037,49.78994823299949,49.23777739241814
518400.0,6.0,1.9855123446773462,-465.3112060230603,9.866034256258555,10.596347561648939,10.594254585234149
604800.0,7.0,4.4644886831411466,-12679.285839885988,-18197.380550875452,25795.729778032102,20184.41269029647
691200.0,8.0,0.02985272522785951,-14197.909517497217,-16235.415563386081,22965.359005614413,17989.182591593704
777600.0,9.0,-2.1379201000860406,-13707.415860209023,-14796.69148062644,20980.26607183629,16438.29166135282
864000.0,10.0,-1.9229714462434253,-11826.021379189959,-12182.354542019491,17285.555416009127,13546.4149462075
950400.0,11.0,0.10833667078945089,-13432.488729643692,-15159.257500752627,21507.32719519187,16846.563648486113
1036800.0,12.0,1.5423660316504364,-19879.36903377259,-23994.697640211078,34012.81249090911,26633.913273830814
1123200.0,13.0,-0.6731587145159632,-17853.770163916746,-18813.590853441347,26652.622610161092,20884.9615262382
1209600.0,14.0,-0.7453654152977164,-15096.216861713445,-15390.898840893507,21838.491549861294,17114.67286243416
1296000.0,15.0,0.9215944388598789,-17496.69000360497,-19840.475017894558,28143.375596595233,22043.323573958
1382400.0,16.0,0.7206024907493848,-20913.123663484483,-24021.282673724407,34043.892520380534,26663.79096835813
1468800.0,17.0,-2.1895331730605387,-14185.06868426781,-13043.425276039608,18481.648285838426,14492.227057249205
1555200.0,18.0,-0.11558777555943475,-20167.52654101556,-23973.671100731823,34011.33756925956,26632.574822650793
1641600.0,19.0,-2.766199618223792,-16723.292090649356,-17024.070333621145,24105.886615399482,18891.279430433577
1728000.0,20.0,-2.7708812158098617,-17887.112978865625,-19804.722029603905,28084.390311700983,21998.572376069023
1814400.0,21.0,-4.486133084905713,-11034.834572639838,-9504.631305278564,13463.796634753187,10560.230502185002
1900800.0,22.0,-1.579542488684115,-19385.224626657997,-23963.595208483748,33983.070584650224,26604.533994289977
1987200.0,23.0,-5.402430774939626,-11225.443564603329,-9364.787444189356,13227.4251892089,10377.267240636962
2073600.0,24.0,-3.892233302406892,-9430.36819997674,-9432.022747681887,13388.771320550248,10490.354818843367
