case,k9_permeability_m2,k12_permeability_m2,k10_permeability_m2,well,n_obs,mean_obs_delta_h_m,mean_sim_delta_h_m,mean_residual_m,mae_m,rmse_m,max_abs_error_m
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,SC211,32,-21.3440625,-11.262149540073636,10.081912959926363,10.659681985156418,12.032096962484934,17.825251993855527
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,ZK204,32,0.7596875000000001,-0.3118707522447721,-1.0715582522447722,1.378705697849441,2.2201307746715817,6.777002110842477
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,ZK206,64,-5.5084375,-1.0051006716082895,4.503336828391711,4.570814525994248,6.09396634995937,15.152278367827602
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,ZK207,64,-23.2059375,-6.766931878205924,16.439005621794077,16.439005621794077,17.388658823312895,22.112344079315843
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,ZK401,64,2.043125,2.130142801655353,0.087017801655353,0.3322811997092969,0.5002111340371718,1.1278535289720821
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,ZK402,64,-0.1090625,1.7603104380357166,1.8693729380357167,1.8693729380357167,1.9137115297840426,2.1734751465501176
k9_k10_2e-10_200d,2e-10,2.5e-12,2e-10,ZK501,32,-2.156875,2.042084672725167,4.1989596727251675,4.237371652132321,4.875296881701731,9.77085623681287
