well,node_id,input_x,input_y,input_z,mesh_x,mesh_y,mesh_z,nearest_distance_m,selection_method
ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,246194.7349199081,3290951.441995206,3820.983779771971,0.0,nearest_coordinate
ZK207,5610,245383.6846784409,3290612.330974934,4688.903450140564,245383.6846784409,3290612.330974934,4688.903450140564,0.0,nearest_coordinate
ZK206,2163,246041.5577029737,3290789.473730274,3919.820539084446,246041.5577029737,3290789.473730274,3919.820539084446,0.0,nearest_coordinate
ZK401,1465,245834.024658565,3292358.813982456,4101.216800289623,245834.024658565,3292358.813982456,4101.216800289623,0.0,nearest_coordinate
ZK402,14775,246196.992919841,3292608.544742463,4335.996181878206,246196.992919841,3292608.544742463,4335.996181878206,0.0,nearest_coordinate
