time,time_days,file,well,node_id,x,y,z,pressure_Pa,head_m,head_initial_m,delta_head_m,delta_pressure_Pa,delta_pressure_MPa
0.0,0.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_0_t_0.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.0,3820.983779771971,3820.983779771971,0.0,0.0,0.0
86400.0,1.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_1_t_86400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,1.1455236253426118,3820.9838965429826,3820.983779771971,0.00011677101156237768,1.1455236253426118,1.1455236253426118e-06
172800.0,2.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_2_t_172800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-1.1660375866706585,3820.9836609098315,3820.983779771971,-0.00011886213951584068,-1.1660375866706585,-1.1660375866706586e-06
259200.0,3.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_3_t_259200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-4.146243798372896,3820.98335711715,3820.983779771971,-0.00042265482125003473,-4.146243798372896,-4.146243798372896e-06
345600.0,4.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_4_t_345600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,2.492494823001371,3820.9840338489153,3820.983779771971,0.00025407694420209737,2.492494823001371,2.4924948230013707e-06
432000.0,5.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_5_t_432000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-0.08397734424565685,3820.9837712115896,3820.983779771971,-8.560381502320524e-06,-0.08397734424565685,-8.397734424565685e-08
518400.0,6.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_6_t_518400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,2.9128737216733067,3820.9840767009946,3820.983779771971,0.00029692902353417594,2.9128737216733067,2.912873721673307e-06
604800.0,7.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_7_t_604800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,5.729313036752452,3820.9843637998038,3820.983779771971,0.0005840278327013948,5.729313036752452,5.729313036752452e-06
691200.0,8.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_8_t_691200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-2.257065815128472,3820.9835496939063,3820.983779771971,-0.00023007806476016412,-2.257065815128472,-2.257065815128472e-06
777600.0,9.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_9_t_777600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-3.1402535744331335,3820.9834596645733,3820.983779771971,-0.0003201073977834312,-3.1402535744331335,-3.1402535744331334e-06
