time,time_days,ZK204,ZK206,ZK207,ZK401,ZK402
0.0,0.0,3820.983779771971,3919.820539084446,4688.903450140564,4101.216800289623,4335.996181878206
86400.0,1.0,3820.9838965429826,3919.0679953367817,4688.094957944376,4102.3662651515815,4336.896777339513
172800.0,2.0,3820.9836609098315,3918.7113444468087,4687.712177599785,4102.909428308931,4337.322386598933
259200.0,3.0,3820.98335711715,3919.8184833774744,4688.901818049096,4101.217391565108,4335.996696383385
345600.0,4.0,3820.9840338489153,3919.0021548357595,4688.024241012031,4102.466366313502,4336.975166654684
432000.0,5.0,3820.9837712115896,3919.818905023299,4688.902129888736,4101.217121092924,4335.996445989522
518400.0,6.0,3820.9840767009946,3919.820289555852,4688.9032052545335,4101.216557472273,4335.995939004577
604800.0,7.0,3820.9843637998038,3918.090669937291,4687.0449929448005,4103.858482049852,4338.065865977865
691200.0,8.0,3820.9835496939063,3918.2837299302128,4687.25329194474,4103.559947736401,4337.832074632675
777600.0,9.0,3820.9834596645733,3918.417709274741,4687.397149031081,4103.355299107264,4337.671687409212
864000.0,10.0,3820.9835970157606,3918.6652508890447,4687.663037562289,4102.977137830856,4337.375364286139
950400.0,11.0,3820.983893909293,3918.3814444973736,4687.358014158907,4103.410871015802,4337.715150624084
1036800.0,12.0,3820.9840072955412,3917.5430725791502,4686.457465155975,4104.690616544202,4338.717818865901
1123200.0,13.0,3820.9835931739754,3918.038289370406,4686.9899386382895,4103.9321439662435,4338.123589732202
1209600.0,14.0,3820.983704925116,3918.360635225814,4687.336012542784,4103.440354393226,4337.7382061744875
1296000.0,15.0,3820.9839604311223,3917.9368019099657,4686.8805142153105,4104.088089862671,4338.245653451791
1382400.0,16.0,3820.9838398202296,3917.5414773785383,4686.4560234011105,4104.690788958235,4338.71786854549
1468800.0,17.0,3820.983405272945,3918.585866273812,4687.5782721630085,4103.094373216749,4337.467086525147
1555200.0,18.0,3820.983882050866,3917.5426135102166,4686.456936584749,4104.6896756749575,4338.7168922415
1641600.0,19.0,3820.9833527990368,3918.2079931965936,4687.172322589817,4103.670991883488,4337.918814018725
1728000.0,20.0,3820.9835007774573,3917.94033991659,4686.884443105343,4104.080825464931,4338.239839992716
1814400.0,21.0,3820.9832284493546,3918.920729747892,4687.937864270783,4102.582551460114,4337.065953184682
1900800.0,22.0,3820.983770631946,3917.5427966607253,4686.456993822376,4104.689061240215,4338.716300979203
1987200.0,23.0,3820.9830185014366,3918.936443295422,4687.954957933679,4102.557396739752,4337.046242343189
2073600.0,24.0,3820.9834657874962,3918.92361462089,4687.940474168928,4102.579571003829,4337.063498288966
2160000.0,25.0,3820.9837719474413,3917.732702806672,4686.661028055823,4104.398575782577,4338.488671780569
2246400.0,26.0,3820.983347630156,3917.6353952010927,4686.557096617222,4104.544651564668,4338.603191042473
2332800.0,27.0,3820.9833664670055,3917.5399167123246,4686.454581560447,4104.689949116605,4338.717007908994
2419200.0,28.0,3820.983612918275,3917.5397483097136,4686.454461289626,4104.689658316717,4338.7167564810525
2505600.0,29.0,3820.9840069318675,3917.539745505097,4686.454470245263,4104.689305594938,4338.7164497334625
2592000.0,30.0,3820.9844285291683,3917.5396091810976,4686.454334981896,4104.68917016551,4338.716314304435
2678400.0,31.0,3820.9848138094926,3917.5391992903515,4686.453905343928,4104.689464088669,4338.716516262304
2764800.0,32.0,3820.985125022454,3917.5924034832674,4686.511075458193,4104.607875809445,4338.6525651554775
2851200.0,33.0,3820.985382144248,3917.6457071986374,4686.568324604616,4104.526259044148,4338.5885892766
2937600.0,34.0,3820.9855658346046,3917.6990199903125,4686.625582580493,4104.444650978603,4338.524622100678
3024000.0,35.0,3820.9856247962935,3918.074734524569,4687.029210739242,4103.870614679464,4338.074843563523
3110400.0,36.0,3820.9858048566166,3918.0405484111493,4686.992297794009,4103.923381415212,4338.1161416552495
3196800.0,37.0,3820.98573987124,3918.1838706101125,4687.146296587583,4103.704244043746,4337.944438741763
3283200.0,38.0,3820.9856825056204,3918.116206000396,4687.073532242441,4103.807743605678,4338.02550736438
3369600.0,39.0,3820.98547744231,3918.28072114427,4687.250316143652,4103.556190579498,4337.82841137962
3456000.0,40.0,3820.985453168947,3917.6870414354794,4686.612418435104,4104.463208352401,4338.539029534862
3542400.0,41.0,3820.9849523539433,3918.3215199583215,4687.294374687648,4103.492718946112,4337.77868720298
3628800.0,42.0,3820.9850005111753,3918.382405417803,4687.359469804746,4103.4008147772265,4337.706620847534
3715200.0,43.0,3820.9849082282694,3918.4169702855547,4687.396574817797,4103.348062779421,4337.6652790148155
3801600.0,44.0,3820.9847192524453,3918.399067880406,4687.377325250445,4103.375407416907,4337.68669479877
3888000.0,45.0,3820.9844416971937,3918.397350626695,4687.375490985323,4103.377923957398,4337.688661641794
3974400.0,46.0,3820.9841787666346,3918.0398050835415,4686.991366214893,4103.923972937584,4338.11647964482
4060800.0,47.0,3820.983696588619,3917.9955488697155,4686.944005208155,4103.990732132879,4338.16879976642
4147200.0,48.0,3820.9832891793735,3918.0378859240745,4686.989518272301,4103.925798145033,4338.117912511608
4233600.0,49.0,3820.9829258746377,3918.080374413559,4687.0351496745425,4103.860809236852,4338.066976308631
4320000.0,50.0,3820.9825223184957,3918.122869008563,4687.080786895908,4103.795825950597,4338.016045731727
4406400.0,51.0,3820.9820502633293,3918.0632993053105,4687.016771221492,4103.886753410373,4338.087270990102
4492800.0,52.0,3820.981415900337,3918.12879114947,4687.087166765925,4103.786452901715,4338.00867813959
4579200.0,53.0,3820.9807487821236,3918.027333871817,4686.978137651297,4103.9414089933025,4338.1300677779645
4665600.0,54.0,3820.9799097023856,3918.045025015712,4686.997200019393,4103.9140370906125,4338.108616809936
4752000.0,55.0,3820.9790275346595,3918.011615953525,4686.9613029927705,4103.964946096131,4338.148488886785
4838400.0,56.0,3820.9780959757704,3917.71274495305,4686.640233936923,4104.421230531979,4338.505972701908
4924800.0,57.0,3820.976901173715,3917.947451625402,4686.892548230056,4104.061936859996,4338.224473948042
5011200.0,58.0,3820.975886009908,3917.914957046469,4686.857525126554,4104.111837395905,4338.263536515754
5097600.0,59.0,3820.9747321838327,3917.931934555061,4686.875786405873,4104.085670872084,4338.2430231011995
5184000.0,60.0,3820.973475169915,3918.10430749298,4687.060971064072,4103.822246641265,4338.036616886048
5270400.0,61.0,3820.9722548225823,3917.9288329413494,4686.872367242252,4104.09047581515,4338.246747531041
5356800.0,62.0,3820.9708226747994,3917.7847433492743,4686.717658371282,4104.310073294992,4338.418800755276
5443200.0,63.0,3820.969287114134,3917.836837150115,4686.773704092797,4104.230034317666,4338.356085773238
5529600.0,64.0,3820.967806376733,3917.8478854375444,4686.785553357802,4104.2130727244385,4338.342776537715
5616000.0,65.0,3820.9663024952147,3917.8230070028962,4686.758825155385,4104.250917485125,4338.372411585212
5702400.0,66.0,3820.9647491798014,3917.7586213528666,4686.689670743707,4104.34903683274,4338.449273929529
5788800.0,67.0,3820.9631233325495,3917.7711283079416,4686.703145984717,4104.329619992182,4338.434049829843
5875200.0,68.0,3820.961497846499,3917.724449946095,4686.652996794471,4104.40075524476,4338.489766681235
5961600.0,69.0,3820.9598039505945,3917.7836115583577,4686.716586377284,4104.310107555444,4338.418732231381
6048000.0,70.0,3820.9581206492826,3917.8007424229904,4686.734966447313,4104.283875650732,4338.398159807183
6134400.0,71.0,3820.9564026502712,3917.743045921797,4686.672976849102,4104.371867471485,4338.467084801756
6220800.0,72.0,3820.954597779988,3917.7859179609427,4686.719070791318,4104.306094835675,4338.415541853945
6307200.0,73.0,3820.9527874198466,3917.8819160909047,4686.822189452393,4104.159376570726,4338.300571553163
6393600.0,74.0,3820.9510237896548,3917.6811997808763,4686.606506392816,4104.465998330551,4338.540787058216
6480000.0,75.0,3820.9490734032456,3917.758307691139,4686.689453817476,4104.34765632226,4338.448067535951
6566400.0,76.0,3820.9472185290074,3917.683054870758,4686.608572675409,4104.462576077896,4338.538085349233
6652800.0,77.0,3820.945299211798,3917.700234341305,4686.627072912403,4104.4360105895075,4338.517261978997
6739200.0,78.0,3820.943389024654,3917.758954134832,4686.690155104695,4104.346174272073,4338.446859416552
6825600.0,79.0,3820.9415076729724,3917.678162347121,4686.60333197022,4104.469529314693,4338.543488500013
6912000.0,80.0,3820.939530637698,3917.7306495327325,4686.659767421906,4104.389029957565,4338.480409461262
6998400.0,81.0,3820.937581784026,3917.736185407127,4686.665693347426,4104.380510278143,4338.473716152644
7084800.0,82.0,3820.9356129681837,3917.6779272446247,4686.603105833957,4104.469348525875,4338.543306141299
7171200.0,83.0,3820.933583780822,3917.6860339739046,4686.611849796919,4104.456686100271,4338.533375414239
7257600.0,84.0,3820.931561403016,3917.6777090662367,4686.6029069885,4104.469249954788,4338.543204107156
7344000.0,85.0,3820.929514925887,3917.721215803014,4686.6496575114215,4104.4026137902265,4338.490981681241
7430400.0,86.0,3820.9274760258186,3917.73778319297,4686.667439275287,4104.3772361226875,4338.471081776759
7516800.0,87.0,3820.925421015458,3917.67816757893,4686.603387451752,4104.468179420594,4338.54232107801
