time,time_days,ZK204,ZK206,ZK207,ZK401,ZK402
0.0,0.0,0.0,0.0,0.0,0.0,0.0
86400.0,1.0,1.1455236253426118,-7382.454164587114,-7931.308444607786,11276.250295812044,8834.84147542731
172800.0,2.0,-1.1660375866706585,-10881.199395222537,-11686.38362504422,16604.680869406962,13010.068310329734
259200.0,3.0,-4.146243798372896,-20.166485390818682,-16.010817304614708,5.80041250615319,5.047295805969254
345600.0,4.0,2.492494823001371,-8028.349479612686,-8625.041550913387,12258.242694249087,9603.840657247832
432000.0,5.0,-0.08397734424565685,-16.03013985105854,-12.951670431310527,3.14708038103107,2.5909320071746547
518400.0,6.0,2.9128737216733067,-2.447875507821527,-2.4023319606282465,-2.3820382096041772,-2.3825902997629096
604800.0,7.0,5.729313036752452,-16970.016333590494,-18231.46509044227,25914.89806784227,20303.60101765489
691200.0,8.0,-2.257065815128472,-15076.097803025486,-16188.05190103398,22986.27645288812,18010.107921344847
777600.0,9.0,-3.1402535744331335,-13761.7604332065,-14776.8138840273,20978.673401049768,16436.70925916707
864000.0,10.0,-1.7928384262298547,-11333.377196886839,-12168.447392876928,17268.9112794909,13529.779421831277
950400.0,11.0,1.119687125302401,-14117.517899179951,-15160.726980055399,21523.83382380661,16863.08339706607
1036800.0,12.0,2.232006223595498,-22341.94641695044,-23995.11269881809,34078.137457416626,26699.258849284997
1123200.0,13.0,-1.8305263400840597,-17483.86969473164,-18771.547837316983,26637.521467643623,20869.87104770692
1209600.0,14.0,-0.7342476505684135,-14321.656853181034,-15376.562834217157,21813.06575633794,17089.258346526847
1296000.0,15.0,1.7722662760752046,-18479.46168165282,-19845.001426739673,28167.350711600127,22067.31613687612
1382400.0,16.0,0.5890734160521607,-22357.59533495546,-24009.25631404099,34079.82883908099,26699.746206055
1468800.0,17.0,-3.673835445548156,-12112.140272321385,-12999.995959821377,18418.990415105727,14429.574586498135
1555200.0,18.0,1.0033559622251134,-22346.449883189696,-24000.297982541168,34068.90753013156,26690.16866391583
1641600.0,19.0,-4.188604487313615,-15819.075159830309,-16982.361272827085,24075.619535807717,18861.021298492567
1728000.0,20.0,-2.7369361797479583,-18444.75383666994,-19806.45901551341,28096.08696976847,22010.286103345446
1814400.0,21.0,-5.408474868223629,-8827.129591592991,-9472.397382545447,13398.01898250949,10494.456516533815
1900800.0,22.0,-0.08966364888170902,-22344.65317669799,-23999.73648142375,34062.879925301015,26684.36838078009
1987200.0,23.0,-7.468063944254259,-8672.979690324435,-9304.708549542172,13151.25117576793,10301.093161488821
