well,node_id,x,y,z,head_initial_m,delta_head_min_m,delta_head_max_m,delta_head_final_m,pressure_initial_Pa,delta_pressure_final_MPa
ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,3820.983779771971,-0.3302632972099673,0.0020250846455383,-0.3302632972099673,0.0,-0.0032398829456304653
ZK206,2163,246041.5577029737,3290789.473730274,3919.820539084446,3919.820539084446,-21.28796375534921,0.0,-2.145255932668988,0.0,-0.021044960699482036
ZK207,5610,245383.6846784409,3290612.330974934,4688.903450140564,4688.903450140564,-22.868804981225367,0.0,-2.3027335303431755,0.0,-0.022589815932663643
ZK401,1465,245834.024658565,3292358.813982456,4101.216800289623,4101.216800289623,-0.0053030215567559935,32.486128620895215,3.2423701788166,0.0,0.03180765145418857
ZK402,14775,246196.992919841,3292608.544742463,4335.996181878206,4335.996181878206,-0.005451047932183428,25.450522862735852,2.5379470635944017,0.0,0.024897260693864956
